Year,industry,installations,operational_stock,industry_encoded
1993,All Industries,5246,43454,All Industries
1994,All Industries,6676,49130,All Industries
1995,All Industries,8815,56945,All Industries
1996,All Industries,8385,60965,All Industries
1997,All Industries,10723,66394,All Industries
1998,All Industries,9365,70466,All Industries
1999,All Industries,12836,79959,All Industries
2000,All Industries,12986,89880,All Industries
2001,All Industries,10813,97257,All Industries
2002,All Industries,9955,103515,All Industries
2003,All Industries,12693,112390,All Industries
2004,All Industries,15170,123663,All Industries
2005,All Industries,21567,139984,All Industries
2006,All Industries,17417,150725,All Industries
2007,All Industries,18722,160632,All Industries
2008,All Industries,16242,168489,All Industries
2009,All Industries,8417,166183,All Industries
2010,All Industries,16356,173174,All Industries
2011,All Industries,20555,180893,All Industries
2012,All Industries,22414,190321,All Industries
2013,All Industries,23679,203187,All Industries
2014,All Industries,26202,219434,All Industries
2015,All Industries,27504,234245,All Industries
2016,All Industries,31404,250479,All Industries
2017,All Industries,33146,262058,All Industries
2018,All Industries,40373,285014,All Industries
2019,All Industries,33378,299670,All Industries
2020,All Industries,30787,314215,All Industries
2021,All Industries,34987,340785,All Industries
1993,All other manufacturing branches,0,0,All other manufacturing branches
1994,All other manufacturing branches,0,0,All other manufacturing branches
1995,All other manufacturing branches,0,0,All other manufacturing branches
1996,All other manufacturing branches,0,0,All other manufacturing branches
1997,All other manufacturing branches,0,0,All other manufacturing branches
1998,All other manufacturing branches,0,0,All other manufacturing branches
1999,All other manufacturing branches,0,0,All other manufacturing branches
2000,All other manufacturing branches,0,0,All other manufacturing branches
2001,All other manufacturing branches,0,0,All other manufacturing branches
2002,All other manufacturing branches,0,0,All other manufacturing branches
2003,All other manufacturing branches,0,0,All other manufacturing branches
2004,All other manufacturing branches,0,0,All other manufacturing branches
2005,All other manufacturing branches,328,328,All other manufacturing branches
2006,All other manufacturing branches,60,388,All other manufacturing branches
2007,All other manufacturing branches,77,465,All other manufacturing branches
2008,All other manufacturing branches,223,688,All other manufacturing branches
2009,All other manufacturing branches,108,796,All other manufacturing branches
2010,All other manufacturing branches,115,911,All other manufacturing branches
2011,All other manufacturing branches,1607,2518,All other manufacturing branches
2012,All other manufacturing branches,1424,3942,All other manufacturing branches
2013,All other manufacturing branches,1555,5497,All other manufacturing branches
2014,All other manufacturing branches,1465,6962,All other manufacturing branches
2015,All other manufacturing branches,1898,8722,All other manufacturing branches
2016,All other manufacturing branches,1338,9927,All other manufacturing branches
2017,All other manufacturing branches,1893,11463,All other manufacturing branches
2018,All other manufacturing branches,3303,14674,All other manufacturing branches
2019,All other manufacturing branches,2325,16873,All other manufacturing branches
2020,All other manufacturing branches,1828,18478,All other manufacturing branches
2021,All other manufacturing branches,3120,21469,All other manufacturing branches
1993,All other non-manufacturing branches,0,0,All other non-manufacturing branches
1994,All other non-manufacturing branches,0,0,All other non-manufacturing branches
1995,All other non-manufacturing branches,0,0,All other non-manufacturing branches
1996,All other non-manufacturing branches,0,0,All other non-manufacturing branches
1997,All other non-manufacturing branches,0,0,All other non-manufacturing branches
1998,All other non-manufacturing branches,0,0,All other non-manufacturing branches
1999,All other non-manufacturing branches,0,0,All other non-manufacturing branches
2000,All other non-manufacturing branches,0,0,All other non-manufacturing branches
2001,All other non-manufacturing branches,0,0,All other non-manufacturing branches
2002,All other non-manufacturing branches,0,0,All other non-manufacturing branches
2003,All other non-manufacturing branches,0,0,All other non-manufacturing branches
2004,All other non-manufacturing branches,0,0,All other non-manufacturing branches
2005,All other non-manufacturing branches,0,0,All other non-manufacturing branches
2006,All other non-manufacturing branches,3,3,All other non-manufacturing branches
2007,All other non-manufacturing branches,0,3,All other non-manufacturing branches
2008,All other non-manufacturing branches,0,3,All other non-manufacturing branches
2009,All other non-manufacturing branches,37,40,All other non-manufacturing branches
2010,All other non-manufacturing branches,35,75,All other non-manufacturing branches
2011,All other non-manufacturing branches,25,100,All other non-manufacturing branches
2012,All other non-manufacturing branches,97,197,All other non-manufacturing branches
2013,All other non-manufacturing branches,26,223,All other non-manufacturing branches
2014,All other non-manufacturing branches,14,237,All other non-manufacturing branches
2015,All other non-manufacturing branches,74,277,All other non-manufacturing branches
2016,All other non-manufacturing branches,61,332,All other non-manufacturing branches
2017,All other non-manufacturing branches,93,400,All other non-manufacturing branches
2018,All other non-manufacturing branches,126,522,All other non-manufacturing branches
