Year,industry,installations,operational_stock,industry_encoded,Three_Component_Index,News_Based_Policy_Uncert_Index,FedStateLocal_Ex_disagreement,CPI_disagreement,Tax_expiration,GEPU_current,GEPU_ppp,log_installations,log_operational_stock,log_Three_Component_Index,log_News_Based_EPU_Index,log_FedStLocal_Ex_disag,log_CPI_disagreement,log_Tax_expiration,log_GEPU_current,log_GEPU_ppp,working_age_popu,population,emp_pop_ratio,GDP,real_GDP,int10yr,int1yr,cpi,fertility,women,unemploy,log_working_age_pop,log_population,log_GDP,log_real_GDP,popu_growth,working_age_popu_growth,GDP_growth,real_GDP_growth,int10yr_growth,int1yr_growth,emp_pop_growth,l_log_working_age_pop,l_log_population,l_log_GDP,l_log_real_GDP,l_popu_growth,l_working_age_popu_growth,l_emp_pop_ratio,l_GDP_growth,l_real_GDP_growth,l_cpi,l_int10yr,l_int1yr,l_unemploy,l_women,l_fertility,GDP_disper_1,GDP_disper_2,l_GDP_disper_1,l_GDP_disper_2,JLN_real_h1,JLN_real_h3,JLN_real_h12,JLN_fin_h1,JLN_fin_h3,JLN_fin_h12,JLN_macro_h1,JLN_macro_h3,JLN_macro_h12,vix,vol_ann,l_vix,l_vol_ann,resi_EPU_threecomp,resi_EPU_news,resi_EPU_fedstlocal,resi_EPU_cpi,resi_EPU_tax,hat_EPU_threecomp,hat_EPU_news,hat_EPU_fedstlocal,hat_EPU_cpi,hat_EPU_tax,my_pola1,my_pola2,new_pola1,lognew_pola1,new_pola2,lognew_pola2,three_pola1,logthree_pola1,three_pola2,logthree_pola2,oas_aaa,oas_euro,yield3m,yield6m,yield1y,l_oas_aaa,l_oas_euro,l_yield3m,l_yield6m,l_yield1y
1993,All Industries,5246,43454,All Industries,107.4501816145214,102.2944454939922,155.8601276862116,98.61626642442582,15.74852315720937,,,8.5654116,10.679482,4.6770272,4.6278553,5.0489588,4.5912361,2.7567465,,,165052704,261796,62,7013.7378,10097.362,2.7201164,.94794232,0,2.0195,58.400002,6.5,18.921776,12.475321,8.8556261,9.2200298,.012491947,.0094623221,.048632544,.025742006,-.25485176,-.14837815,.0097245248,18.912313,12.462829,8.8069935,9.1942873,.013461124,.0090339519,61.400002,.064333051,.042892676,-.070422538,3.5096855,1.0995671,7.4000001,57.900002,2.046,.29,.46,.31999999,.57999998,.5525460714524167,.6617822147814036,.8245558936542211,.6912706003381871,.7723114149959858,.9229446360856784,.5520588126895122,.6811704126538923,.854305068707339,12.69,9.9471149,15.45,12.99575,4.3540049,-1.0135593,58.220192,.68174744,-180.7243,114.8356,120.5306,98.256981,96.050911,293.86102,.64627671,.55942798,75.929848,4.3281474,80.001389,4.3801999,81.513184,4.3989172,84.561806,4.4349461,,,3,3.1199999,3.29,,,3.4300001,3.54,3.71
1994,All Industries,6676,49130,All Industries,89.98571587479005,87.57100693405278,114.6324411829178,87.56444346306772,12.89908539144528,,,8.8064241,10.802245,4.499651,4.4724498,4.7417307,4.4723749,2.5571563,,,166573760,264924,63.099998,7455.2881,10512.962,4.1169529,2.0140173,0,2.0014999,58.700001,5.5,18.930948,12.487198,8.9166784,9.2603645,.011877418,.0091733737,.061052822,.040334731,.41443864,.75359303,.01758636,18.921776,12.475321,8.8556261,9.2200298,.012491947,.0094623221,62,.048632544,.025742006,0,2.7201164,.94794232,6.5,58.400002,2.0195,.46,.78,.28999999,.46000001,.5372757713752623,.6566694051966606,.8289296587946097,.6906777871143105,.771758971037543,.9215009154348675,.5536759306147416,.6894100830872478,.867686440243769,13.93,9.0379362,12.69,9.9471149,-16.403347,-21.107843,16.857637,-9.994668,-194.24815,115.26743,123.75117,94.844475,94.337723,268.62585,.61642641,.4789494,86.81337,4.4618282,88.443611,4.4815865,93.738609,4.5396409,94.83725,4.5512657,,,4.25,4.6399999,5.02,,,3,3.1199999,3.29
1995,All Industries,8815,56945,All Industries,81.10629052502566,83.18557035995697,74.7063888951438,85.58078293154189,15.08132924350865,,,9.0843239,10.949859,4.3957605,4.4210739,4.3135657,4.449461,2.7134576,,,167867360,268047,62.700001,7772.5859,10744.203,2.7221534,3.0543954,-.065104164,1.978,58.900002,5.5999999,18.938684,12.498918,8.9583578,9.2821217,.011719346,.0077359295,.04167933,.021757402,-.41369003,.41645026,-.0063592857,18.930948,12.487198,8.9166784,9.2603645,.011877418,.0091733737,63.099998,.061052822,.040334731,0,4.1169529,2.0140173,5.5,58.700001,2.0014999,.39,.71,.46000001,.77999997,.5665240498104031,.686317618022469,.8455514967470231,.6787359983703446,.7607328583674896,.9165557774252889,.5599721562264995,.6963576687918636,.8696866916688806,12.39,9.1121035,13.93,9.0379362,-33.515907,-38.921902,-23.405622,-11.039706,-218.7549,116.19748,130.68736,87.494881,90.647987,214.27632,.64027214,.49316391,84.653648,4.4371233,85.909927,4.4509215,91.165161,4.5077929,91.742065,4.5149431,,,5.4899998,5.5599999,5.5999999,,,4.25,4.6399999,5.02
1996,All Industries,8385,60965,All Industries,75.21432342399922,75.8333599237934,79.6276393624965,77.07938065357425,4.852955274792797,,,9.0343189,11.018071,4.3203416,4.3285384,4.3773613,4.3448358,1.5795878,,,169735504,271243,63.400002,8259.7715,11219.238,2.9509351,2.4536111,0,1.976,59.799999,5.4000001,18.949753,12.510771,9.0191526,9.3253851,.01185276,.011067223,.060794003,.043263644,.080698848,-.21902081,.011102426,18.938684,12.498918,8.9583578,9.2821217,.011719346,.0077359295,62.700001,.04167933,.021757402,-.065104164,2.7221534,3.0543954,5.5999999,58.900002,1.978,.33,.59,.38999999,.70999998,.5659404309217512,.6859792756726036,.8430627622601016,.7615034527604712,.8303971313658246,.9454433514426414,.562738199337307,.6986999373645677,.8662815457075697,16.440001,9.7084646,12.39,9.1121035,-35.631165,-40.114124,-18.329687,-19.971674,-216.74048,115.82699,127.92429,90.42263,92.117813,235.92674,.56316841,.39395791,81.68734,4.4014554,80.187981,4.382617,83.85006,4.4282408,82.509361,4.4118547,,,5.0100002,5.0799999,5.2199998,,,5.4899998,5.5599999,5.5999999
1997,All Industries,10723,66394,All Industries,76.22734459820829,78.50697939627736,63.35906928430591,83.31374232408392,19.21781630329616,77.31568870732987,75.91714742041731,9.2802391,11.103377,4.3337202,4.3631873,4.148818,4.4226136,2.9558377,4.3478971,4.3296428,171964656,274499,64,8765.9072,11722.722,2.9198511,2.8352971,-.12383901,1.971,60.099998,4.6999998,18.962799,12.522703,9.0786257,9.3692846,.01193252,.013047601,.059473097,.043898974,-.010589502,.14458586,.0094191981,18.949753,12.510771,9.0191526,9.3253851,.01185276,.011067223,63.400002,.060794003,.043263644,0,2.9509351,2.4536111,5.4000001,59.799999,1.976,.31,.6,.33000001,.58999997,.544674694837984,.6623030009276575,.828682299412018,.8722975637986554,.9243276561662128,.9847492207099736,.5492036061474517,.6833672703589704,.8552913452911599,22.360001,12.84862,16.440001,9.7084646,-19.58136,-12.914827,-33.982391,-15.451589,-153.63155,115.83252,127.96554,90.378937,92.095879,235.60364,.55026865,.42218277,79.818245,4.3776798,80.05072,4.3787918,74.072601,4.3014398,74.344093,4.3057313,.31,,5.0599999,5.1799998,5.3200002,,,5.0100002,5.0799999,5.2199998
1998,All Industries,9365,70466,All Industries,90.94753138907673,108.189065692369,59.02822835010449,75.37910019798063,16.79226581497187,98.77211515292468,94.38074996271696,9.1448412,11.1629,4.510283,4.6838803,4.0780158,4.3225303,2.8209183,4.5928154,4.5473371,173935392,277658,64.300003,9293.9912,12294.737,2.2295799,2.3639567,-.060975611,1.999,60,4.4000001,18.974194,12.534145,9.1371231,9.4169264,.011442523,.011394952,.058498066,.047642328,-.26971942,-.18180995,.0046765953,18.962799,12.522703,9.0786257,9.3692846,.01193252,.013047601,64,.059473097,.043898974,-.12383901,2.9198511,2.8352971,4.6999998,60.099998,1.971,.33,.52,.31,.60000002,.5904264259287801,.7072727989589119,.8537138879523855,1.051905825229876,1.063740419099546,1.031609173108364,.5894327233146517,.7271802354081996,.8813361122696427,25.6,17.8729,22.360001,12.84862,-17.164103,-3.2993793,-38.817127,-21.983629,-195.93895,115.72041,127.12939,91.264908,92.540665,242.15532,.61130273,.47659814,101.16572,4.5980473,101.67129,4.6037626,87.725113,4.4589252,87.885345,4.4613438,.54000002,6.7399998,4.7800002,4.8299999,4.8000002,.31,,5.0599999,5.1799998,5.3200002
1999,All Industries,12836,79959,All Industries,75.20242985498216,79.73891491427104,60.27042704309116,78.21290095730325,17.6920800539082,70.28561151109894,68.83682909355484,9.4600868,11.289282,4.3201838,4.378758,4.0988417,4.3594346,2.873117,4.2525673,4.231739,176250192,280846,64.400002,9900.1689,12888.281,3.1922035,1.844043,0,2.0074999,60.099998,4,18.987415,12.545562,9.2003069,9.4640741,.011416336,.013220611,.06318374,.047147159,.35889825,-.24837632,.0015539781,18.974194,12.534145,9.1371231,9.4169264,.011442523,.011394952,64.300003,.058498066,.047642328,-.060975611,2.2295799,2.3639567,4.4000001,60,1.999,,.6899999999999999,.33000001,.51999998,.5557067028827921,.6800818992345877,.8478050191477616,1.028316835909859,1.049078860826486,1.032136728569389,.5931391588921505,.7384655224898294,.8993364196466663,24.370001,20.842501,25.6,17.8729,-14.478148,-1.6876367,-36.820042,-21.25107,-135.29199,115.91239,128.56123,89.747734,91.778999,230.93597,.51336229,.38792831,120.68755,4.7924089,118.68756,4.7753248,104.54179,4.6487598,102.76198,4.631351,.64999998,6.5599999,4.6399999,4.75,4.8099999,.54000002,6.7399998,4.7800002,4.8299999,4.8000002
2000,All Industries,12986,89880,All Industries,88.12746819662958,96.55345652907999,66.58493652030383,87.28106338713546,13.81245918556105,73.76446363051441,70.62739761951674,9.4717045,11.406241,4.4787841,4.570097,4.1984782,4.4691334,2.625571,4.3008771,4.2574182,180137248,283748,64.400002,10435.744,13262.25,2.6392105,2.3188388,-.057438254,2.056,59.900002,3.9000001,19.00923,12.555841,9.2529917,9.4926767,.010280044,.021814518,.052685026,.028603185,-.19023164,.2291061,0,18.987415,12.545562,9.2003069,9.4640741,.011416336,.013220611,64.400002,.06318374,.047147159,0,3.1922035,1.844043,4,60.099998,2.0074999,.21,.6899999999999999,,.69,.6079429973549315,.72131813371805,.8640520279601086,1.161282261945731,1.147826277340045,1.062283952433293,.666216660910704,.8079263899152851,.9357331674355395,23.32,20.489401,24.370001,20.842501,-.55819917,16.749649,-30.464783,-12.296333,-135.94646,115.75681,127.40087,90.977249,92.396255,240.02814,.37041101,.27446452,132.05431,4.8773556,129.55113,4.8569102,107.83325,4.6769209,106.15561,4.660285,.94999999,7.5,5.8200002,5.9000001,5.7800002,.64999998,6.5599999,4.6399999,4.75,4.8099999
2001,All Industries,10813,97257,All Industries,120.2741263853811,152.1850388343545,56.19816928732471,91.24838445018713,20.66045681709724,112.7657501061013,107.795869688579,9.2885971,11.485123,4.7897735,5.0250974,4.0288844,4.5135851,3.0282216,4.7253127,4.6802392,182640592,286533,62.900002,10660.465,13284.881,2.0405762,-.19812037,-.3945885,2.0304999,59.700001,5.6999998,19.023031,12.565609,9.2742977,9.4943819,.0097671924,.013801195,.021305174,.0017049575,-.25724757,,-.023567468,19.00923,12.555841,9.2529917,9.4926767,.010280044,.021814518,64.400002,.052685026,.028603185,-.057438254,2.6392105,2.3188388,3.9000001,59.900002,2.056,.74,1.23,.20999999,.69,.6246038951391919,.7360677688393483,.8664687502973135,1.097372148204297,1.102781988428901,1.04994802002295,.711580475970884,.8459567673403173,.9445293346467595,25.75,22.026051,23.32,20.489401,13.54185,42.946392,-41.590691,-6.2715993,-187.59937,115.34491,124.329,94.232201,94.030334,264.09811,.40298018,.31998163,142.68275,4.9577408,141.67433,4.9504938,122.36945,4.8040643,121.6452,4.7980499,.85000002,12.15,3.4000001,3.3399999,3.8399999,.94999999,7.5,5.8200002,5.9000001,5.7800002
2002,All Industries,9955,103515,All Industries,105.3424107091685,128.6467928825258,82.16207393071662,70.27825883119999,30.36991072848314,101.949095838878,100.1320497261541,9.2059307,11.547482,4.6572161,4.8570704,4.4086938,4.2524624,3.4134524,4.6244736,4.6064897,184858544,289214,62.400002,11061.433,13549.421,1.6922537,-.06171805,-.2206288,2.0204999,59.5,6,19.035101,12.574923,9.3112202,9.5140991,.0093131857,.012070662,.036922496,.019717198,-.18717103,-1.1662984,-.0079808878,19.023031,12.565609,9.2742977,9.4943819,.0097671924,.013801195,62.900002,.021305174,.0017049575,-.3945885,2.0405762,-.19812037,5.6999998,59.700001,2.0304999,.49,.93,.74000001,1.23,.5690604901559746,.683501142340449,.8400807669353533,1.08796436344229,1.091947925311907,1.041095906200572,.6200358370126083,.7566789503618079,.8952210475905976,27.290001,22.144329,25.75,22.026051,2.3395834,25.491045,-15.474038,-27.666903,-165.80031,115.62862,126.44486,91.990234,92.9048,247.51904,.44572616,.37273672,126.52296,4.8155441,126.40588,4.81493,112.15146,4.6882591,112.08144,4.6877561,.93000001,11.69,1.61,1.6799999,1.67,.85000002,12.15,3.4000001,3.3399999,3.8399999
